ISIN,BSE Name,NSE Symbol,Applicable Date,High Price on BSE (INR),High Price on NSE (INR),Fair market value
INE420C01042,PAISALO,PAISALO,2018-10-31,296.2,297.9,297.9
INE471W01019,PALASHSEC,PALASHSECU,2018-10-31,76,76,76
INE218G01033,PALRED,PALREDTEC,2018-10-31,106,105.9,106
INE969B01016,PALSOFT INFO,,2018-10-31,11,,11
INE795A01017,PANA ENERG,,2018-10-31,334.5,,334.5
INE922B01023,PANACEA BIOT,PANACEABIO,2018-10-31,317,317,317
INE895W01019,,PANACHE,2018-10-31,,143.1,143.1
INE516E01019,PANACHE,,2018-10-31,44,,44
INE655P01029,PANAFIC,,2018-10-31,0.59,,0.59
INE305C01029,PANAMA PETRO,PANAMAPET,2018-10-31,223.95,222,223.95
INE013E01017,PANASON CAR,,2018-10-31,710,,710
INE798F01010,PANCH.STEEL,,2018-10-31,58.85,,58.85
