ISIN,BSE Name,NSE Symbol,Applicable Date,High Price on BSE (INR),High Price on NSE (INR),Fair market value,Type
INE229C01013,SAGAR CEM.,SAGCEM,10/31/2018,1009.35,1019,1019,Stock
INE807D01030,SAGARPROD,,10/31/2018,13.74,,13.74,Stock
INE184B01012,SAGARSOFT,,10/31/2018,89.05,,89.05,Stock
INE135C01012,SAHARA HOUSG,,10/31/2018,72.95,,72.95,Stock
INE479B01016,SAHARA ONE,,10/31/2018,54.2,,54.2,Stock
INE280H01015,SAHYA INDU,,10/31/2018,276.85,,276.85,Stock
INE052T01013,SAHYOGMULT,,10/31/2018,3.81,,3.81,Stock
INE706P01020,SAIBABA,,10/31/2018,13.65,,13.65,Stock
INE584B01013,SAINIK FIN.,,10/31/2018,38.9,,38.9,Stock
INE068B01017,SAINT-GOBAIN,,10/31/2018,57.75,,57.75,Stock
INE732S01012,,SAKAR,10/31/2018,,64.8,64.8,Stock
INE667G01015,SAKSOFT LTD,SAKSOFT,10/31/2018,225.7,226.55,226.55,Stock
INE302E01014,SAKTHI FIN.,,10/31/2018,39.4,,39.4,Stock
INE623A01011,SAKTHI SUGAR,SAKHTISUG,10/31/2018,24.25,24.15,24.25,Stock
INE190H01016,SAKUMA EXPO,SAKUMA,10/31/2018,151.4,153.8,153.8,Stock
INE170V01019,SALASAR,SALASAR,10/31/2018,311.6,312.5,312.5,Stock
INE159C01012,SALGUTI IND,,10/31/2018,18.9,,18.9,Stock
INE498E01010,SALONA COTSP,SALONA,10/31/2018,134.75,131,134.75,Stock
INE924A01013,SALORA INT.,SALORAINTL,10/31/2018,51.95,52.15,52.15,Stock
INE658G01014,SALSTEEL,SALSTEEL,10/31/2018,6.85,6.85,6.85,Stock
INE457F01013,SALZER ELEC,SALZERELEC,10/31/2018,213.5,213.7,213.7,Stock
INE653D01012,SAM INDUS.,,10/31/2018,24.8,,24.8,Stock
INE304D01012,SAMBANDAM SP,,10/31/2018,154.75,,154.75,Stock
INE699B01027,SAMBHAAV MED,SAMBHAAV,10/31/2018,12.75,12.75,12.75,Stock
INE706B01012,SAMKRG PIST.,,10/31/2018,326.4,,326.4,Stock
INE375C01014,SAMPRE NUTRI,,10/31/2018,73.25,,73.25,Stock
INE103E01016,SAMRAT PHARM,,10/31/2018,111,,111,Stock
INE381A01016,SAMTEL COL,SAMTEL,10/31/2018,1.5,1.5,1.5,Stock
INE538C01017,SAMTEL IND.,,10/31/2018,2,,2,Stock
INE931D01020,SAMTEX FASH.,,10/31/2018,5.34,,5.34,Stock
INE607G01011,SAMYAK INT,,10/31/2018,10.7,,10.7,Stock
INE602D01027,SANBLUE,,10/31/2018,3.48,,3.48,Stock
INE391H01010,SANCIA GLOB,,10/31/2018,0.32,,0.32,Stock
INE782L01012,,SANCO,10/31/2018,,47.15,47.15,Stock
INE391G01012,SANCO TRANS,,10/31/2018,278.55,,278.55,Stock
INE583B01015,SANDESH LTD.,SANDESH,10/31/2018,1219,1213,1219,Stock
INE751D01014,SANDU PHARMA,,10/31/2018,39,,39,Stock
INE149K01016,SANDUR MANG.,,10/31/2018,1296.95,,1296.95,Stock
INE384D01022,SANGAL PAPER,,10/31/2018,151,,151,Stock
INE299N01013,SANGAM ADV,,10/31/2018,53.5,,53.5,Stock
INE495C01010,SANGAM INDIA,SANGAMIND,10/31/2018,175.5,178,178,Stock
INE345S01013,SANGFROID,,10/31/2018,0.97,,0.97,Stock
INE263L01013,SANGH FORG,SANGHVIFOR,10/31/2018,39.75,39.7,39.75,Stock
INE999B01013,SANGHI IND.,SANGHIIND,10/31/2018,125.55,125,125.55,Stock
INE989A01032,SANGHVI MOVE,SANGHVIMOV,10/31/2018,163.6,167,167,Stock
INE753W01010,,SANGINITA,10/31/2018,,50,50,Stock
INE877A01013,SANKHYA INFO,,10/31/2018,136,,136,Stock
INE058A01010,SANOFI,SANOFI,10/31/2018,4984.9,4975.1,4984.9,Stock
INE589J01015,SANRHEA TECH,,10/31/2018,46.05,,46.05,Stock
INE250D01017,SANTARAM SPN,,10/31/2018,5.22,,5.22,Stock
INE612D01018,SANTOSH FINE,,10/31/2018,14.45,,14.45,Stock
INE890C01046,SANWARIA,SANWARIA,10/31/2018,24.4,24.25,24.4,Stock
INE002E01010,SAPL,,10/31/2018,174.15,,174.15,Stock
INE185C01017,SAPPL,,10/31/2018,210,,210,Stock
INE233P01017,SAPTARISHI A,,10/31/2018,7.07,,7.07,Stock
INE385C01013,SARDA ENMIN,SARDAEN,10/31/2018,558.9,558.5,558.9,Stock
INE385D01011,SARDA PAPERS,,10/31/2018,6.98,,6.98,Stock
INE932D01010,SARDA PLY.,,10/31/2018,165,,165,Stock
INE979A01017,SAREGAMA (I),SAREGAMA,10/31/2018,730,732,732,Stock
INE453D01025,SARLA PER F,SARLAPOLY,10/31/2018,64.9,62.8,64.9,Stock
INE075H01019,SARTHAK GLOB,,10/31/2018,11.8,,11.8,Stock
INE305D01019,SARUPINDUS,,10/31/2018,72.25,,72.25,Stock
INE231F01020,SASKEN,SASKEN,10/31/2018,778.65,777,778.65,Stock
INE019J01013,SASTASUNDR,SASTASUNDR,10/31/2018,110,118,118,Stock
INE065D01027,SAT IND LTD,,10/31/2018,41.95,,41.95,Stock
INE836B01017,SATIN,SATIN,10/31/2018,486.7,489.95,489.95,Stock
INE086E01021,SATPROP LTD,,10/31/2018,7.34,,7.34,Stock
INE176C01016,SATVAH.ISPAT,SATHAISPAT,10/31/2018,28.7,28.4,28.7,Stock
INE394F01018,SATYA MINERS,,10/31/2018,3.9,,3.9,Stock
INE365L01016,SAUMYACAP,,10/31/2018,0.23,,0.23,Stock
INE626A01014,SAURAS.CEM.,,10/31/2018,93.3,,93.3,Stock
INE304E01010,SAVANI FIN.,,10/31/2018,9.68,,9.68,Stock
INE856B01015,SAVEN TECHNO,,10/31/2018,22.85,,22.85,Stock
INE104E01014,SAVERA IND,,10/31/2018,88.9,,88.9,Stock
INE248B01015,SAWACA BUSI,,10/31/2018,3.59,,3.59,Stock
INE318C01014,SAYAJI HOTEL,,10/31/2018,280,,280,Stock
INE327G01024,SAYAJIIND,,10/31/2018,512.45,,512.45,Stock
INE945O01019,SBCL,,10/31/2018,65.2,,65.2,Stock
INE948G01019,SBEC SUGAR,,10/31/2018,6.61,,6.61,Stock
INE363D01018,SBFL,,10/31/2018,8.31,,8.31,Stock
INF200K01099,SBI GOLD ETS,SETFGOLD,10/31/2018,2748,2757,2757,Stock
INE123W01016,SBILIFE,SBILIFE,10/31/2018,679,681.5,681.5,Stock
INF200K01VT2,SBISENSEX,,10/31/2018,383.85,,383.85,Stock
INE857P01021,SBL,,10/31/2018,0.57,,0.57,Stock
INE204Y01010,SBRANDS,,10/31/2018,135,,135,Stock
INE895E01017,SCAGRO,,10/31/2018,1.8,,1.8,Stock
INE146N01016,SCANDENT,,10/31/2018,19.06,,19.06,Stock
